Anhui,31.8257,117.2264
Beijing,40.1824,116.4142
Chongqing,30.0572,107.874
Fujian,26.0789,117.9874
Gansu,37.8099,101.0583
Guangdong,23.3417,113.4244
Guangxi,23.8298,108.7881
Guizhou,26.8154,106.8748
Hainan,19.1959,109.7453
Hebei,39.549,116.1306
Heilongjiang,47.862,127.7615
Henan,33.882,113.614
Hong Kong,22.3,114.2
Hubei,30.9756,112.2707
Hunan,27.6104,111.7088
Inner Mongolia,44.0935,113.9448
Jiangsu,32.9711,119.455
Jiangxi,27.614,115.7221
Jilin,43.6661,126.1923
Liaoning,41.2956,122.6085
Macau,22.1667,113.55
Ningxia,37.2692,106.1655
Qinghai,35.7452,95.9956
Shaanxi,35.1917,108.8701
Shandong,36.3427,118.1498
Shanghai,31.202,121.4491
Shanxi,37.5777,112.2922
Sichuan,30.6171,102.7103
Tianjin,39.3054,117.323
Tibet,31.6927,88.0924
Xinjiang,41.1129,85.2401
Yunnan,24.974,101.487
Zhejiang,29.1832,120.0934
